"","beach_id","region","council","site","longitude","latitude","date","enterococci_cfu_100ml"
"93",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"19/03/2013",2
"94",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"13/03/2013",4
"95",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"01/03/2013",110
"96",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"07/03/2013",11
"97",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"17/02/2013",30
"98",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"23/02/2013",630
"99",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"30/01/2013",22
"100",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"05/02/2013",2
"101",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"24/01/2013",48
"102",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"12/01/2013",17
"103",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"29/08/2013",1
"104",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"30/07/2013",1
"105",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"18/07/2013",9
"106",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"06/07/2013",5
"107",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"24/06/2013",84
"108",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"12/06/2013",84
"109",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"06/06/2013",8
"110",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"20/05/2013",2
"111",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"14/05/2013",10
"112",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"06/04/2013",49
"113",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"11/02/2013",110
"114",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"18/01/2013",18
"115",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"06/01/2013",4
"116",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"02/01/2013",15
"117",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"19/03/2013",56
"118",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"25/03/2013",4
"119",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"18/04/2013",1
"120",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"20/05/2013",1
"121",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"06/06/2013",0
"122",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"12/06/2013",660
"123",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"31/05/2013",2
"124",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"24/06/2013",41
"125",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"18/07/2013",4
"126",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"24/07/2013",43
"127",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"22/08/2013",4
"128",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"29/08/2013",1
"129",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"08/08/2013",13
"130",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"06/04/2013",27
"131",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"02/04/2013",1
"132",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"12/04/2013",0
"133",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"24/04/2013",13
"134",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"01/05/2013",0
"135",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"07/05/2013",0
"136",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"14/05/2013",5
"137",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"25/05/2013",8
"138",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"30/06/2013",42
"139",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"06/07/2013",2
"140",25.9,"Sydney City Ocean Beaches","Randwick Council","Gordons Bay (East)",151.264558,-33.915646,"12/07/2013",8
